X,Y,Elevation,BA,Commodity,Fold Type,Fault Type,Age,Super Group,Group Name,Formation,Lithology,Intrusive,SiO2,Al2O3,Fe2O3,TiO2,CaO,MgO,MnO,Na2O,K2O,P2O5,LOI,Ba_ppm,Ga_ppm,Sc_ppm,V_ppm,Th_ppm,Pb_ppm,Ni_ppm,Co_ppm,Rb_ppm,Sr_ppm,Cr_ppm,Cu_ppm,Zn_ppm
76.7479,15.1668,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,QUARTZ PORPHYRY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5531,15.1125,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,ANDALUSITE SCHIST,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5485,15.1209,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,ANDALUSITE SCHIST,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5432,15.1217,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,ANDALUSITE SCHIST,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5435,15.1222,0,0,,ANTICLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,ANDALUSITE SCHIST,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.8816,15.0097,0,0,,SYNCLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,FUCHSITE QUARTZITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.8864,15.0223,0,0,,ANTICLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,FUCHSITE QUARTZITE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6901,14.964,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.669,14.9977,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6793,14.9808,0,0,,SYNFORM,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6796,14.9804,0,0,,SYNFORM,FAULT,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6936,14.9592,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5014,15.195,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6736,14.989,0,0,,SYNFORM,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4575,15.1779,715,-47,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4977,15.1441,715,-47,,ANTICLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.48,15.1608,715,-47,,ANTICLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5756,15.1547,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6745,14.9699,0,0,,SYNFORM,FAULT,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5491,15.1186,587,-49,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.536,15.1199,587,-49,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6665,14.9972,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6687,14.9922,0,0,,SYNFORM,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6407,15.0046,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6353,15.0086,0,0,,ANTICLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5598,15.1233,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5695,15.1157,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5088,15.1991,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5216,15.195,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5714,15.0116,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5599,15.018,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5513,15.0218,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.7388,15.1124,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6464,15.0774,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6527,15.0475,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6898,15.2142,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4318,15.2082,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.3867,15.2393,0,0,,SYNCLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4857,15.171,0,0,,ANTICLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6729,15.0136,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6736,15.0096,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5734,15.1318,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5792,15.1265,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.572,15.1331,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4696,15.1153,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5997,15.0724,0,0,,SYNCLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6984,15.1985,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.54,15.1343,0,0,,ANTICLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6068,15.1198,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6009,15.1253,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6662,14.9746,0,0,,,FAULT,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6696,14.9731,0,0,,SYNFORM,FAULT,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.63,15.1135,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.632,15.1096,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5103,15.1969,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5198,15.1931,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5104,15.1316,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5172,15.1279,0,0,,ANTICLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.7232,15.1633,0,0,,ANTICLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4328,15.211,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.3858,15.2411,0,0,,SYNCLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4889,15.1723,0,0,,ANTICLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5881,15.195,0,0,,ANTICLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5485,15.113,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5379,15.1163,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4794,15.1566,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4363,15.2009,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4713,15.1747,0,0,,ANTICLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.7334,15.1591,0,0,,ANTICLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4324,15.1978,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.419,15.2098,0,0,,SYNCLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6525,15.0087,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6578,15.0005,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6162,15.1101,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5111,15.2017,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5178,15.2002,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6439,15.0539,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6448,15.0499,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4807,15.1965,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4826,15.1555,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4788,15.1592,0,0,,ANTICLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6544,14.9895,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6642,14.9787,0,0,,,FAULT,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6488,14.9951,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6588,14.983,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6807,14.9667,0,0,,SYNFORM,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6718,14.9739,0,0,,SYNFORM,FAULT,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.7017,15.1941,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5488,15.1247,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5232,15.1342,0,0,,ANTICLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5826,15.1391,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.515,15.205,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5219,15.2038,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5817,15.1289,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5823,15.128,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6341,15.0305,0,0,,SYNCLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5673,15.1179,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5982,15.0846,0,0,,SYNCLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5717,15.1165,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.7077,15.1902,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5276,15.1414,0,0,,ANTICLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,42.81,19.85,19.91,1.02,1.68,0.68,0.14,0.43,2.12,0.11,10.75,274.5,16,23.1,213.2,4,10.4,55.6,19.8,64.7,39.5,134.7,45.1,31.3
76.6719,15.0197,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6153,15.1137,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.5993,15.067,0,0,,SYNCLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6899,15.2112,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.3811,15.2445,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.382,15.2433,0,0,,SYNCLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6555,14.9911,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6498,14.9959,0,0,,ANTICLINE (PLUNGING),,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6638,14.982,0,0,,SYNFORM,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.6662,14.9796,0,0,,SYNFORM,FAULT,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4775,15.1499,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.4644,15.1605,0,0,,SYNCLINE,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76.596,15.143,0,0,,,,ARCHAEAN,DHARWAR,SANDUR,DONIMALAI,BANDED FERRUGINOUS CHERT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
